# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
RUUVivxRgdg,1298,ESA Winter HMT | The best basketball teams in Alaska | To be continued
bCl2YdkWHX0,15840,Grand Theft Auto: San Andreas [Any% (No 3rd party FPS cap)] by Joshimuz - #ESAWinter23
S1NppTxur4I,10260,Astral Chain [Any% (No Abilities)] by Herreteman - #ESAWinter23
L_iDDld3Uqc,2139,Local Speedrunners go Outside - ESA Winter 2022 Vlog
KvsqAwtN0ck,1155,Youyou Kengeki Musou [Any% (Hard 1.0)] by Naro - #ESAWinter20
5X8uTJYaV6k,2600,Transistor [Low%] by Cadarev - #ESAWinter20
cKoN2zNKcyg,2420,Brigand: Oaxaca [Bad Ending] by Timopy - #HEK21
V2UOk1sN3-s,15003,#ESAWinter18 Speedruns - Super Smash Bros. Brawl [Subspace Intense Difficulty] by Fuzzyness
xmJyPYG1NJw,14233,#ESAWinter18 Speedruns - Paper Mario [All Bosses] by KalarMar
KzjdWvapA0g,4942,Metal Gear Solid 2: HD Edition [European Extreme] by Jaguar_King and dlimes13 - #ESAWinter21
Elzm2TDI-7c,3111,"GeoGuessr [3P Coop] by mgln_, janmumrik and havrd - #ESAWinter22"
wMqKD4yO1Po,28332,Super Mario Odyssey [All Moons] by TiloTech and Dansta2106 - #ESAWinter23
3OEgKM6_RNY,846,Bishi Bashi Special 2 [Any% Hyper] by juh0rse - #HEK21
tCLVdb8hvZQ,19775,Judgment [Any%] by Froob - #ESAWinter21
