# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
kURMZ-lbT-U,1833,Hades [Seeded AnyHeat (Routed)] by SatanIsAChillGuy - #ESASummer24
L45qN17h6A0,4693,Crash Twinsanity [100%] by Joester98 - #ESASummer22
zhsiZgfQnbI,4045,Hitman: Blood Money [All Achievements] by AlphaBrother - #ESAWinter24
S6scrO1v61Q,23139,The Lord of the Rings: The Third Age [Full Game Any% Glitchless] by Deano95HD - #ESASummer24
97oPRXB93n4,3337,Jak and Daxter: The Precursor Legacy (TeamRuns) [Co-op No LTS (Same Level)] - #ESASummer24
FMylpFRAJWs,3519,Awful Havrd Games [Showcase] by havrd - #ESASummerOnline
zhbJ1WYx2rE,893,Alone in the Dark [Any%] by Plastic_Rainbow - #ESASummerOnline
9D81eqh6Ne0,7231,Summer ESA Tournament Room: A Link To The Past Randomizer Tournament (Semifinals)
J6KShJ5Iofs,1489,Ratchet & Clank: Into The Nexus [NG+] by synn1_ - #ESASummer24
UwlvX_2Mjp8,4941,Grand Theft Auto III [Any%] by English_Ben - #ESASummer21
aCz27Ql7scA,12262,Elden Ring [2 Player 1 Controller Any% Randomizer] by catalystz and Puppery - #ESASummer24
yDNKs24PT8k,13239,The Legend of Zelda Ocarina of Time Beta Quest [Battleship Bingo] by Runnerguy2489 - #ESASummer24
RguAm5z7cTA,2901,Portal 2 [Solo Co-Op] by Msushi100 - #ESASummerOnline
qWbZ32mRMnY,913,Closing Speech [Any%] by Edenal and Fatzke - #ESASummer21
OLXAv_CrHCc,1764,Super Mario Sunburn [Any%] by Samura1man - #ESASummerOnline
08mbk3HeyA0,2002,Rocket Knight Adventures [Any% (Easy)] by Drakodan - #ESASummerOnline
JOHein8whQo,2591,Hitman: Blood Money speedrun - ESA Summer 2022
dKulNKkwIYQ,1827,Pokémon Blue [Any% (No Save Corruption)] by G3neziz - #ESASummerOnline
O3O3Ee5_XNY,14720,#ESASummer18 Speedruns - Grand Theft Auto IV [Any%] by KyleDoesIt
Cu9cdqrhgSs,5014,Super Mario Logic [Any%] by BigJon - #ESASummerOnline
