Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-02-18T23:13:00+01:00;Tetris: The Grand Master;[FreyasSpirit](https://www.twitch.tv/FreyasSpirit);Arcade;Master Mode;;;0:30:00;ESA 2021 Winter;MpsRzhuuCSo
2021-02-19T03:13:00+01:00;Power Rangers: Lightspeed Rescue;[Proto_Sonic](https://www.twitch.tv/Proto_Sonic);PS1;Any%;;;0:24:57;ESA 2021 Winter;u6oCJJfKy7I
2021-02-19T10:00:00+01:00;Halo: Reach;[Two_EEzy](https://www.twitch.tv/Two_EEzy);PC;Legendary;;;1:25:41;ESA 2021 Winter;euu7Sz85mzs
2021-02-20T05:00:00+01:00;Golden Sun: The Lost Age;[TL_Plexa](https://www.twitch.tv/TL_Plexa);Wii U VC;Any% (No S&Q);;;5:39:11;ESA 2021 Winter;FxmPJdVtB5o
2021-02-20T15:08:00+01:00;Pokémon Emerald Randomizer;[360Chrism](https://www.twitch.tv/360Chrism) vs. [SheNanagans_](https://www.twitch.tv/SheNanagans_);PC;Pokédex Blackout;;;2:37:15;ESA 2021 Winter;x-oiURoPz_k
2021-02-20T22:10:00+01:00;Super Mario All-Stars;[BigJon](https://www.twitch.tv/BigJon);SNES;Any% (All Four Games);;;0:42:12;ESA 2021 Winter;J5tz9babC1U
2021-02-21T02:16:00+01:00;Grand Theft Auto: Vice City Stories;[Joshimuz](https://www.twitch.tv/Joshimuz);PSTV;Any%;;;2:22:44;ESA 2021 Winter;eXwuWJGu5yU
2021-02-13T19:43:00+01:00;Sonic 4: Episode 2;[Argick](https://www.twitch.tv/Argick);PC;Beat The Game;;;0:48:06;ESA 2021 Winter;yf7vLTXg84A
2021-02-14T00:45:00+01:00;Crash Team Racing;[hypnoshark](https://www.twitch.tv/hypnoshark);PS2;Any% Warpless;;;0:50:57;ESA 2021 Winter;mdIokyu4jvA
2021-02-14T11:50:00+01:00;Harlequin;[Robo_Sparkle](https://www.twitch.tv/Robo_Sparkle);Amiga;Any% (Credits Warp);;;0:03:00;ESA 2021 Winter;-9S3ULVq4Z4
2021-02-14T13:34:00+01:00;Rolan's Curse;[JkL87](https://www.twitch.tv/JkL87);GB;Any% (Glitchless);;;0:26:16;ESA 2021 Winter;KbLRC0qeMN4
2021-02-14T16:36:00+01:00;Luigi's Mansion;[PabloBliep10](https://www.twitch.tv/PabloBliep10);Wii;No OoB ;;;0:58:30;ESA 2021 Winter;AL18X2CNcjA
2021-02-14T23:03:00+01:00;Ori and the Blind Forest;[Covert_Muffin](https://www.twitch.tv/Covert_Muffin);PC;Randomizer (All Skill Locations);;;0:41:46;ESA 2021 Winter;LfSsBxyXc14
2021-02-15T04:07:00+01:00;Pokémon Soul Silver;[JTMagicman](https://www.twitch.tv/JTMagicman);Nintendo DS;Any% (Glitchless, Manipless);;;4:06:40;ESA 2021 Winter;JUL4k31338s
2021-02-15T15:44:00+01:00;Sheepo;[CutierooSR](https://www.twitch.tv/cutieroosr);PC;All Bosses;;;0:37:18;ESA 2021 Winter;cEc64wF8_vw
2021-02-15T21:05:00+01:00;Serious Sam 4;[Tezur0](https://www.twitch.tv/Tezur0);PC;All Levels;;;1:15:15;ESA 2021 Winter;t57DZbclL2s
